Alt,Stock,Year,ABC,OFL,Catch,SSB,F,Total_Biom
2,Model_1_goa_pop_2023.dat,2025,38.961969700000004,46.561586599999984,31.05800000000066,224.7998150000002,0.0782988821,637.0242830000001
2,Model_1_goa_pop_2023.dat,2026,37.509370100000005,44.82564750000007,29.43500000000049,217.96608900000035,0.07704379890000002,617.1477309999992
2,Model_1_goa_pop_2023.dat,2027,36.10287200000002,43.1448395,36.10287200000002,209.86636499999992,0.09901050000000135,600.4301000000003
2,Model_1_goa_pop_2023.dat,2028,34.19894340000002,40.8704729,34.19894340000002,199.2575049999999,0.09901050000000135,578.4979990000006
2,Model_1_goa_pop_2023.dat,2029,32.482142300000014,38.8205864,32.482142300000014,189.021152,0.09901050000000135,560.2411430000001
2,Model_1_goa_pop_2023.dat,2030,31.008002100000017,37.0614054,31.008002100000017,179.77833499999997,0.09901050000000135,545.2342370000002
2,Model_1_goa_pop_2023.dat,2031,29.776066500000027,35.59209940000003,29.776066500000027,172.0698199999999,0.09901050000000135,533.0521219999999
2,Model_1_goa_pop_2023.dat,2032,28.794666800000005,34.42207479999998,28.794666800000005,166.03409200000007,0.09901050000000135,523.3066590000003
2,Model_1_goa_pop_2023.dat,2033,28.025468299999993,33.5051897,28.025468299999993,161.493688,0.09901050000000135,515.414136
2,Model_1_goa_pop_2023.dat,2034,27.44534330000002,32.812420399999965,27.44534330000002,158.06927000000016,0.09900464270000132,508.97265400000003
2,Model_1_goa_pop_2023.dat,2035,26.99275930000001,32.2662234,26.99275930000001,155.42192199999997,0.09889477800000124,503.48897599999987
2,Model_1_goa_pop_2023.dat,2036,26.639571699999976,31.837995600000028,26.639571699999976,153.29275999999987,0.09864557040000113,498.82309199999906
3,Model_1_goa_pop_2023.dat,2023,20.852699999999732,48.89620000000057,29.76050000000027,234.4459999999978,0.0712497999999991,670.7120000000124
3,Model_1_goa_pop_2023.dat,2024,20.2652995,47.52114250000018,23.831300000000414,229.45537499999938,0.058417327100000006,650.6553349999991
3,Model_1_goa_pop_2023.dat,2025,19.85623719999998,46.561586599999984,31.05800000000066,224.7998150000002,0.0782988821,637.0242830000001
