
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
343.618 137.447 120.266 0.115342 0.0903428 244.876 
CV Recruit
0.526038 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2032  0 25.3018 27.0643 26.7824 28.5603 28.7947 31.4258 1.50587 
2033  0 25.3018 27.0643 25.5051 27.828 28.0255 31.3272 1.84905 
2034  0 25.3018 27.0643 24.348 27.1923 27.4453 31.3354 2.15698 
2035  0 25.3018 27.0643 23.4507 26.7454 26.9928 31.208 2.45973 
2036  0 25.3018 27.0643 22.1791 26.4315 26.6396 31.2595 2.7559 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2023 343.618 137.447 120.266 234.446 234.446 234.446 234.446 2.24532e-12 
2024 343.618 137.447 120.266 229.445 229.453 229.455 229.473 0.00926822 
2025 343.618 137.447 120.266 224.754 224.793 224.8 224.868 0.0392418 
2026 343.618 137.447 120.266 217.813 217.944 217.966 218.181 0.126192 
2027 343.618 137.447 120.266 209.463 209.809 209.866 210.432 0.328518 
2028 343.618 137.447 120.266 198.335 199.137 199.258 200.538 0.742995 
2029 343.618 137.447 120.266 187.089 188.789 189.021 191.681 1.53337 
2030 343.618 137.447 120.266 176.12 179.39 179.778 184.636 2.85604 
2031 343.618 137.447 120.266 165.993 171.445 172.07 180.366 4.74398 
2032 343.618 137.447 120.266 156.957 165.07 166.034 178.08 6.9947 
2033 343.618 137.447 120.266 149.135 160.113 161.494 177.58 9.24238 
2034 343.618 137.447 120.266 142.863 156.907 158.069 177.797 11.1822 
2035 343.618 137.447 120.266 136.924 153.864 155.422 178.228 12.693 
2036 343.618 137.447 120.266 133.017 151.542 153.293 177.073 13.7834 

Fishing_mortalityModel_1_goa_pop_2023.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2023  0 0.0990105 0.119243 0.0712498 0.0712498 0.0712498 0.0712498 0 
2024  0 0.0990105 0.119243 0.0584165 0.0584174 0.0584173 0.0584178 4.48902e-07 
2025  0 0.0990105 0.119243 0.0782745 0.0783015 0.0782989 0.0783137 1.30724e-05 
2026  0 0.0990105 0.119243 0.0769064 0.0770575 0.0770438 0.0771318 7.60918e-05 
2027  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 9.4369e-16 
2028  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 9.4369e-16 
2029  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 9.4369e-16 
2030  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 9.4369e-16 
2031  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 9.4369e-16 
2032  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 9.4369e-16 
2033  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 9.4369e-16 
