
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
343.618 137.447 120.266 0.115342 0.0903428 244.876 
CV Recruit
0.526038 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2033  0 25.3018 27.0643 27.6396 29.3584 29.5582 32.1662 1.42834 
2034  0 25.3018 27.0643 26.2555 28.4685 28.6462 31.8501 1.75547 
2035  0 25.3018 27.0643 25.124 27.7264 27.9472 31.7417 2.04966 
2036  0 25.3018 27.0643 24.1441 27.1342 27.4163 31.4134 2.31251 
2037  0 25.3018 27.0643 23.2929 26.6823 27.0156 31.2799 2.57221 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2024 343.618 137.447 120.266 234.441 234.441 234.441 234.441 8.81073e-13 
2025 343.618 137.447 120.266 230.583 230.591 230.593 230.612 0.00954066 
2026 343.618 137.447 120.266 230.838 230.877 230.884 230.956 0.038785 
2027 343.618 137.447 120.266 228.755 228.879 228.901 229.141 0.123726 
2028 343.618 137.447 120.266 219.36 219.683 219.739 220.356 0.321863 
2029 343.618 137.447 120.266 207.235 207.994 208.115 209.497 0.724169 
2030 343.618 137.447 120.266 195.068 196.643 196.879 199.741 1.48645 
2031 343.618 137.447 120.266 183.222 186.219 186.666 191.757 2.75095 
2032 343.618 137.447 120.266 172.266 177.241 178.028 186.759 4.53641 
2033 343.618 137.447 120.266 162.555 169.906 171.109 183.395 6.64295 
2034 343.618 137.447 120.266 153.978 164.554 165.754 181.569 8.74456 
2035 343.618 137.447 120.266 147.096 160.57 161.615 180.597 10.5911 
2036 343.618 137.447 120.266 141.512 156.962 158.387 179.677 12.0807 
2037 343.618 137.447 120.266 137.249 153.95 155.809 178.871 13.2169 

Fishing_mortalityModel_1_goa_pop_2023.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2024  0 0.0990105 0.119243 0.0713322 0.0713322 0.0713322 0.0713322 5.55112e-17 
2025  0 0.0990105 0.119243 0.039302 0.0393027 0.0393026 0.039303 3.06623e-07 
2026  0 0.0990105 0.119243 0.0314207 0.0314318 0.0314307 0.0314363 5.11078e-06 
2027  0 0.0990105 0.119243 0.0784374 0.0785949 0.0785824 0.0786672 7.42406e-05 
2028  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2029  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2030  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2031  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2032  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2033  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2034  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2035  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2036  0 0.0990105 0.119243 0.0990105 0.0990105 0.0989881 0.0990105 0.000225618 
2037  0 0.0990105 0.119243 0.0988598 0.0990105 0.0988731 0.0990105 0.00076688 

Total_BiomassModel_1_goa_pop_2023.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2024 1785.64 465.616 428.615 670.712 670.712 670.712 670.712 2.04636e-12 
2025 1785.64 465.616 428.615 647.344 649.856 650.615 656.326 2.97097 
2026 1785.64 465.616 428.615 636.755 643.645 644.643 656.953 6.51087 
2027 1785.64 465.616 428.615 628.533 640.262 642.326 662.346 11.0375 
2028 1785.64 465.616 428.615 601.976 619.052 622.185 652.643 16.2925 
2029 1785.64 465.616 428.615 568.897 594.186 597.238 636.616 21.7563 
2030 1785.64 465.616 428.615 540.205 573.923 576.188 624.905 27.1022 
2031 1785.64 465.616 428.615 514.603 555.436 558.816 616.242 31.9744 
2032 1785.64 465.616 428.615 493.886 540.431 544.692 609.487 36.34 
2033 1785.64 465.616 428.615 475.934 527.927 533.21 602.092 40.0118 
2034 1785.64 465.616 428.615 461.656 518.78 523.907 596.972 43.2708 
2035 1785.64 465.616 428.615 449.269 510.612 516.347 592.42 46.0813 
2036 1785.64 465.616 428.615 437.955 505.521 510.195 589.02 48.6319 
2037 1785.64 465.616 428.615 431.83 500.936 505.021 584.1 50.8152 
Alternative 3 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
